objetivo,contexto
importante,facil
importante,revisarla
importante,forma
facil,contiene
facil,informacion
facil,importante
facil,revisarla
facil,forma
facil,manual
revisarla,informacion
revisarla,importante
revisarla,facil
revisarla,forma
revisarla,manual
revisarla,utilizan
forma,importante
forma,facil
forma,revisarla
forma,manual
forma,utilizan
forma,tecnicas
manual,facil
manual,revisarla
manual,forma
manual,utilizan
manual,tecnicas
manual,procesamiento
utilizan,revisarla
utilizan,forma
utilizan,manual
utilizan,tecnicas
utilizan,procesamiento
utilizan,lenguaje
tecnicas,forma
tecnicas,manual
tecnicas,utilizan
tecnicas,procesamiento
tecnicas,lenguaje
tecnicas,natural
procesamiento,manual
procesamiento,utilizan
procesamiento,tecnicas
procesamiento,lenguaje
procesamiento,natural
procesamiento,mineria
lenguaje,utilizan
lenguaje,tecnicas
lenguaje,procesamiento
lenguaje,natural
lenguaje,mineria
lenguaje,texto
natural,tecnicas
natural,procesamiento
natural,lenguaje
natural,mineria
natural,texto
natural,ayudan
mineria,procesamiento
mineria,lenguaje
mineria,natural
mineria,texto
mineria,ayudan
mineria,limpiar
texto,lenguaje
texto,natural
texto,mineria
texto,ayudan
texto,limpiar
texto,ordenar
ayudan,natural
ayudan,mineria
ayudan,texto
ayudan,limpiar
ayudan,ordenar
ayudan,representar
limpiar,mineria
limpiar,texto
limpiar,ayudan
limpiar,ordenar
limpiar,representar
limpiar,consultar
ordenar,texto
ordenar,ayudan
ordenar,limpiar
ordenar,representar
ordenar,consultar
ordenar,documentos
representar,ayudan
representar,limpiar
representar,ordenar
representar,consultar
representar,documentos
representar,automatica
consultar,limpiar
consultar,ordenar
consultar,representar
consultar,documentos
consultar,automatica
consultar,paso
documentos,ordenar
documentos,representar
documentos,consultar
documentos,automatica
documentos,paso
documentos,sistema
automatica,representar
automatica,consultar
automatica,documentos
automatica,paso
automatica,sistema
automatica,mineria
paso,consultar
paso,documentos
paso,automatica
paso,sistema
paso,mineria
paso,texto
sistema,documentos
sistema,automatica
sistema,paso
sistema,mineria
sistema,texto
sistema,suele
mineria,automatica
mineria,paso
mineria,sistema
mineria,texto
mineria,suele
mineria,normalizacion
texto,paso
texto,sistema
texto,mineria
texto,suele
texto,normalizacion
texto,proceso
suele,sistema
suele,mineria
suele,texto
suele,normalizacion
suele,proceso
suele,consiste
normalizacion,mineria
normalizacion,texto
normalizacion,suele
normalizacion,proceso
normalizacion,consiste
normalizacion,preparar
proceso,texto
proceso,suele
proceso,normalizacion
proceso,consiste
proceso,preparar
proceso,documento
consiste,suele
consiste,normalizacion
consiste,proceso
consiste,preparar
consiste,documento
consiste,analizado
preparar,normalizacion
preparar,proceso
preparar,consiste
preparar,documento
preparar,analizado
preparar,ruido
documento,proceso
documento,consiste
documento,preparar
documento,analizado
documento,ruido
documento,ruido
analizado,consiste
analizado,preparar
analizado,documento
analizado,ruido
analizado,ruido
analizado,aparecer
ruido,preparar
ruido,documento
ruido,analizado
ruido,ruido
ruido,aparecer
ruido,forma
ruido,documento
ruido,analizado
ruido,ruido
ruido,aparecer
ruido,forma
ruido,mayusculas
aparecer,analizado
aparecer,ruido
aparecer,ruido
aparecer,forma
aparecer,mayusculas
aparecer,signos
forma,ruido
forma,ruido
forma,aparecer
forma,mayusculas
forma,signos
forma,puntuacion
mayusculas,ruido
mayusculas,aparecer
mayusculas,forma
mayusculas,signos
mayusculas,puntuacion
mayusculas,numeros
signos,aparecer
signos,forma
signos,mayusculas
signos,puntuacion
signos,numeros
signos,enlaces
puntuacion,forma
puntuacion,mayusculas
puntuacion,signos
puntuacion,numeros
puntuacion,enlaces
puntuacion,caracteres
numeros,mayusculas
numeros,signos
numeros,puntuacion
numeros,enlaces
numeros,caracteres
numeros,especiales
enlaces,signos
enlaces,puntuacion
enlaces,numeros
enlaces,caracteres
enlaces,especiales
enlaces,palabras
caracteres,puntuacion
caracteres,numeros
caracteres,enlaces
caracteres,especiales
caracteres,palabras
caracteres,comunes
especiales,numeros
especiales,enlaces
especiales,caracteres
especiales,palabras
especiales,comunes
especiales,aportan
palabras,enlaces
palabras,caracteres
palabras,especiales
palabras,comunes
palabras,aportan
palabras,significado
comunes,caracteres
comunes,especiales
comunes,palabras
comunes,aportan
comunes,significado
comunes,palabras
aportan,especiales
aportan,palabras
aportan,comunes
aportan,significado
aportan,palabras
aportan,inteligencia
significado,palabras
significado,comunes
significado,aportan
significado,palabras
significado,inteligencia
significado,inteligencia
palabras,comunes
palabras,aportan
palabras,significado
palabras,inteligencia
palabras,inteligencia
palabras,inteligencia
inteligencia,aportan
inteligencia,significado
inteligencia,palabras
inteligencia,inteligencia
inteligencia,inteligencia
inteligencia,representar
inteligencia,significado
inteligencia,palabras
inteligencia,inteligencia
inteligencia,inteligencia
inteligencia,representar
inteligencia,concepto
inteligencia,palabras
inteligencia,inteligencia
inteligencia,inteligencia
inteligencia,representar
inteligencia,concepto
inteligencia,normalizan
representar,inteligencia
representar,inteligencia
representar,inteligencia
representar,concepto
representar,normalizan
representar,programa
concepto,inteligencia
concepto,inteligencia
concepto,representar
concepto,normalizan
concepto,programa
concepto,interpretarlas
normalizan,inteligencia
normalizan,representar
normalizan,concepto
normalizan,programa
normalizan,interpretarlas
normalizan,palabras
programa,representar
programa,concepto
programa,normalizan
programa,interpretarlas
programa,palabras
programa,convertir
interpretarlas,concepto
interpretarlas,normalizan
interpretarlas,programa
interpretarlas,palabras
interpretarlas,convertir
interpretarlas,texto
palabras,normalizan
palabras,programa
palabras,interpretarlas
palabras,convertir
palabras,texto
palabras,minusculas
convertir,programa
convertir,interpretarlas
convertir,palabras
convertir,texto
convertir,minusculas
convertir,eliminar
texto,interpretarlas
texto,palabras
texto,convertir
texto,minusculas
texto,eliminar
texto,signos
minusculas,palabras
minusculas,convertir
minusculas,texto
minusculas,eliminar
minusculas,signos
minusculas,innecesarios
eliminar,convertir
eliminar,texto
eliminar,minusculas
eliminar,signos
eliminar,innecesarios
eliminar,quitar
signos,texto
signos,minusculas
signos,eliminar
signos,innecesarios
signos,quitar
signos,palabras
innecesarios,minusculas
innecesarios,eliminar
innecesarios,signos
innecesarios,quitar
innecesarios,palabras
innecesarios,vacias
quitar,eliminar
quitar,signos
quitar,innecesarios
quitar,palabras
quitar,vacias
quitar,obtiene
palabras,signos
palabras,innecesarios
palabras,quitar
palabras,vacias
palabras,obtiene
palabras,version
vacias,innecesarios
vacias,quitar
vacias,palabras
vacias,obtiene
vacias,version
vacias,limpia
obtiene,quitar
obtiene,palabras
obtiene,vacias
obtiene,version
obtiene,limpia
obtiene,documento
version,palabras
version,vacias
version,obtiene
version,limpia
version,documento
version,version
limpia,vacias
limpia,obtiene
limpia,version
limpia,documento
limpia,version
limpia,permite
documento,obtiene
documento,version
documento,limpia
documento,version
documento,permite
documento,sistema
version,version
version,limpia
version,documento
version,permite
version,sistema
version,concentre
permite,limpia
permite,documento
permite,version
permite,sistema
permite,concentre
permite,terminos
sistema,documento
sistema,version
sistema,permite
sistema,concentre
sistema,terminos
sistema,importantes
concentre,version
concentre,permite
concentre,sistema
concentre,terminos
concentre,importantes
concentre,normalizacion
terminos,permite
terminos,sistema
terminos,concentre
terminos,importantes
terminos,normalizacion
terminos,realiza
importantes,sistema
importantes,concentre
importantes,terminos
importantes,normalizacion
importantes,realiza
importantes,tokenizacion
normalizacion,concentre
normalizacion,terminos
normalizacion,importantes
normalizacion,realiza
normalizacion,tokenizacion
normalizacion,tokenizacion
realiza,terminos
realiza,importantes
realiza,normalizacion
realiza,tokenizacion
realiza,tokenizacion
realiza,divide
tokenizacion,importantes
tokenizacion,normalizacion
tokenizacion,realiza
tokenizacion,tokenizacion
tokenizacion,divide
tokenizacion,texto
tokenizacion,normalizacion
tokenizacion,realiza
tokenizacion,tokenizacion
tokenizacion,divide
tokenizacion,texto
tokenizacion,unidades
divide,realiza
divide,tokenizacion
divide,tokenizacion
divide,texto
divide,unidades
divide,pequenas
texto,tokenizacion
texto,tokenizacion
texto,divide
texto,unidades
texto,pequenas
texto,llamadas
unidades,tokenizacion
unidades,divide
unidades,texto
unidades,pequenas
unidades,llamadas
unidades,tokens
pequenas,divide
pequenas,texto
pequenas,unidades
pequenas,llamadas
pequenas,tokens
pequenas,practica
llamadas,texto
llamadas,unidades
llamadas,pequenas
llamadas,tokens
llamadas,practica
llamadas,sencilla
tokens,unidades
tokens,pequenas
tokens,llamadas
tokens,practica
tokens,sencilla
tokens,token
practica,pequenas
practica,llamadas
practica,tokens
practica,sencilla
practica,token
practica,palabra
sencilla,llamadas
sencilla,tokens
sencilla,practica
sencilla,token
sencilla,palabra
sencilla,frase
token,tokens
token,practica
token,sencilla
token,palabra
token,frase
token,inteligencia
palabra,practica
palabra,sencilla
palabra,token
palabra,frase
palabra,inteligencia
palabra,artificial
frase,sencilla
frase,token
frase,palabra
frase,inteligencia
frase,artificial
frase,analiza
inteligencia,token
inteligencia,palabra
inteligencia,frase
inteligencia,artificial
inteligencia,analiza
inteligencia,datos
artificial,palabra
artificial,frase
artificial,inteligencia
artificial,analiza
artificial,datos
artificial,convertirse
analiza,frase
analiza,inteligencia
analiza,artificial
analiza,datos
analiza,convertirse
analiza,tokens
datos,inteligencia
datos,artificial
datos,analiza
datos,convertirse
datos,tokens
datos,inteligencia
convertirse,artificial
convertirse,analiza
convertirse,datos
convertirse,tokens
convertirse,inteligencia
convertirse,artificial
tokens,analiza
tokens,datos
tokens,convertirse
tokens,inteligencia
tokens,artificial
tokens,analiza
inteligencia,datos
inteligencia,convertirse
inteligencia,tokens
inteligencia,artificial
inteligencia,analiza
inteligencia,datos
artificial,convertirse
artificial,tokens
artificial,inteligencia
artificial,analiza
artificial,datos
artificial,quitar
analiza,tokens
analiza,inteligencia
analiza,artificial
analiza,datos
analiza,quitar
analiza,palabras
datos,inteligencia
datos,artificial
datos,analiza
datos,quitar
datos,palabras
datos,comunes
quitar,artificial
quitar,analiza
quitar,datos
quitar,palabras
quitar,comunes
quitar,token
palabras,analiza
palabras,datos
palabras,quitar
palabras,comunes
palabras,token
palabras,conserva
comunes,datos
comunes,quitar
comunes,palabras
comunes,token
comunes,conserva
comunes,posicion
token,quitar
token,palabras
token,comunes
token,conserva
token,posicion
token,texto
conserva,palabras
conserva,comunes
conserva,token
conserva,posicion
conserva,texto
conserva,posicion
posicion,comunes
posicion,token
posicion,conserva
posicion,texto
posicion,posicion
posicion,importante
texto,token
texto,conserva
texto,posicion
texto,posicion
texto,importante
texto,permite
posicion,conserva
posicion,posicion
posicion,texto
posicion,importante
posicion,permite
posicion,revisar
importante,posicion
importante,texto
importante,posicion
importante,permite
importante,revisar
importante,orden
permite,texto
permite,posicion
permite,importante
permite,revisar
permite,orden
permite,aparicion
revisar,posicion
revisar,importante
revisar,permite
revisar,orden
revisar,aparicion
revisar,palabras
orden,importante
orden,permite
orden,revisar
orden,aparicion
orden,palabras
orden,construir
aparicion,permite
aparicion,revisar
aparicion,orden
aparicion,palabras
aparicion,construir
aparicion,relaciones
palabras,revisar
palabras,orden
palabras,aparicion
palabras,construir
palabras,relaciones
palabras,contexto
construir,orden
construir,aparicion
construir,palabras
construir,relaciones
construir,contexto
construir,sistema
relaciones,aparicion
relaciones,palabras
relaciones,construir
relaciones,contexto
relaciones,sistema
relaciones,conoce
contexto,palabras
contexto,construir
contexto,relaciones
contexto,sistema
contexto,conoce
contexto,palabras
sistema,construir
sistema,relaciones
sistema,contexto
sistema,conoce
sistema,palabras
sistema,aparecen
conoce,relaciones
conoce,contexto
conoce,sistema
conoce,palabras
conoce,aparecen
conoce,empezar
palabras,contexto
palabras,sistema
palabras,conoce
palabras,aparecen
palabras,empezar
palabras,identificar
aparecen,sistema
aparecen,conoce
aparecen,palabras
aparecen,empezar
aparecen,identificar
aparecen,asociaciones
empezar,conoce
empezar,palabras
empezar,aparecen
empezar,identificar
empezar,asociaciones
empezar,conceptos
identificar,palabras
identificar,aparecen
identificar,empezar
identificar,asociaciones
identificar,conceptos
identificar,tokens
asociaciones,aparecen
asociaciones,empezar
asociaciones,identificar
asociaciones,conceptos
asociaciones,tokens
asociaciones,construye
conceptos,empezar
conceptos,identificar
conceptos,asociaciones
conceptos,tokens
conceptos,construye
conceptos,vocabulario
tokens,identificar
tokens,asociaciones
tokens,conceptos
tokens,construye
tokens,vocabulario
tokens,vocabulario
construye,asociaciones
construye,conceptos
construye,tokens
construye,vocabulario
construye,vocabulario
construye,formado
vocabulario,conceptos
vocabulario,tokens
vocabulario,construye
vocabulario,vocabulario
vocabulario,formado
vocabulario,tokens
vocabulario,tokens
vocabulario,construye
vocabulario,vocabulario
vocabulario,formado
vocabulario,tokens
vocabulario,unicos
formado,construye
formado,vocabulario
formado,vocabulario
formado,tokens
formado,unicos
formado,encontrados
tokens,vocabulario
tokens,vocabulario
tokens,formado
tokens,unicos
tokens,encontrados
tokens,documento
unicos,vocabulario
unicos,formado
unicos,tokens
unicos,encontrados
unicos,documento
unicos,palabra
encontrados,formado
encontrados,tokens
encontrados,unicos
encontrados,documento
encontrados,palabra
encontrados,aparece
documento,tokens
documento,unicos
documento,encontrados
documento,palabra
documento,aparece
documento,guarda
palabra,unicos
palabra,encontrados
palabra,documento
palabra,aparece
palabra,guarda
palabra,vocabulario
aparece,encontrados
aparece,documento
aparece,palabra
aparece,guarda
aparece,vocabulario
aparece,registrar
guarda,documento
guarda,palabra
guarda,aparece
guarda,vocabulario
guarda,registrar
guarda,frecuencia
vocabulario,palabra
vocabulario,aparece
vocabulario,guarda
vocabulario,registrar
vocabulario,frecuencia
vocabulario,frecuencia
registrar,aparece
registrar,guarda
registrar,vocabulario
registrar,frecuencia
registrar,frecuencia
registrar,indica
frecuencia,guarda
frecuencia,vocabulario
frecuencia,registrar
frecuencia,frecuencia
frecuencia,indica
frecuencia,aparece
frecuencia,vocabulario
frecuencia,registrar
frecuencia,frecuencia
frecuencia,indica
frecuencia,aparece
frecuencia,termino
indica,registrar
indica,frecuencia
indica,frecuencia
indica,aparece
indica,termino
indica,texto
aparece,frecuencia
aparece,frecuencia
aparece,indica
aparece,termino
aparece,texto
aparece,documento
termino,frecuencia
termino,indica
termino,aparece
termino,texto
termino,documento
termino,inteligencia
texto,indica
texto,aparece
texto,termino
texto,documento
texto,inteligencia
texto,artificial
documento,aparece
documento,termino
documento,texto
documento,inteligencia
documento,artificial
documento,educativa
inteligencia,termino
inteligencia,texto
inteligencia,documento
inteligencia,artificial
inteligencia,educativa
inteligencia,normal
artificial,texto
artificial,documento
artificial,inteligencia
artificial,educativa
artificial,normal
artificial,encontrar
educativa,documento
educativa,inteligencia
educativa,artificial
educativa,normal
educativa,encontrar
educativa,palabras
normal,inteligencia
normal,artificial
normal,educativa
normal,encontrar
normal,palabras
normal,aprendizaje
encontrar,artificial
encontrar,educativa
encontrar,normal
encontrar,palabras
encontrar,aprendizaje
encontrar,estudiante
palabras,educativa
palabras,normal
palabras,encontrar
palabras,aprendizaje
palabras,estudiante
palabras,modelo
aprendizaje,normal
aprendizaje,encontrar
aprendizaje,palabras
aprendizaje,estudiante
aprendizaje,modelo
aprendizaje,datos
estudiante,encontrar
estudiante,palabras
estudiante,aprendizaje
estudiante,modelo
estudiante,datos
estudiante,evaluacion
modelo,palabras
modelo,aprendizaje
modelo,estudiante
modelo,datos
modelo,evaluacion
modelo,plataforma
datos,aprendizaje
datos,estudiante
datos,modelo
datos,evaluacion
datos,plataforma
datos,docente
evaluacion,estudiante
evaluacion,modelo
evaluacion,datos
evaluacion,plataforma
evaluacion,docente
evaluacion,frecuencias
plataforma,modelo
plataforma,datos
plataforma,evaluacion
plataforma,docente
plataforma,frecuencias
plataforma,ayudan
docente,datos
docente,evaluacion
docente,plataforma
docente,frecuencias
docente,ayudan
docente,identificar
frecuencias,evaluacion
frecuencias,plataforma
frecuencias,docente
frecuencias,ayudan
frecuencias,identificar
frecuencias,temas
ayudan,plataforma
ayudan,docente
ayudan,frecuencias
ayudan,identificar
ayudan,temas
ayudan,principales
identificar,docente
identificar,frecuencias
identificar,ayudan
identificar,temas
identificar,principales
identificar,documento
temas,frecuencias
temas,ayudan
temas,identificar
temas,principales
temas,documento
temas,permiten
principales,ayudan
principales,identificar
principales,temas
principales,documento
principales,permiten
principales,explicar
documento,identificar
documento,temas
documento,principales
documento,permiten
documento,explicar
documento,conceptos
permiten,temas
permiten,principales
permiten,documento
permiten,explicar
permiten,conceptos
permiten,importantes
explicar,principales
explicar,documento
explicar,permiten
explicar,conceptos
explicar,importantes
explicar,analisis
conceptos,documento
conceptos,permiten
conceptos,explicar
conceptos,importantes
conceptos,analisis
conceptos,indexacion
importantes,permiten
importantes,explicar
importantes,conceptos
importantes,analisis
importantes,indexacion
importantes,paso
analisis,explicar
analisis,conceptos
analisis,importantes
analisis,indexacion
analisis,paso
analisis,fundamental
indexacion,conceptos
indexacion,importantes
indexacion,analisis
indexacion,paso
indexacion,fundamental
indexacion,indexar
paso,importantes
paso,analisis
paso,indexacion
paso,fundamental
paso,indexar
paso,significa
fundamental,analisis
fundamental,indexacion
fundamental,paso
fundamental,indexar
fundamental,significa
fundamental,asignar
indexar,indexacion
indexar,paso
indexar,fundamental
indexar,significa
indexar,asignar
indexar,numero
significa,paso
significa,fundamental
significa,indexar
significa,asignar
significa,numero
significa,token
asignar,fundamental
asignar,indexar
asignar,significa
asignar,numero
asignar,token
asignar,unico
numero,indexar
numero,significa
numero,asignar
numero,token
numero,unico
numero,vocabulario
token,significa
token,asignar
token,numero
token,unico
token,vocabulario
token,numero
unico,asignar
unico,numero
unico,token
unico,vocabulario
unico,numero
unico,permite
vocabulario,numero
vocabulario,token
vocabulario,unico
vocabulario,numero
vocabulario,permite
vocabulario,representar
numero,token
numero,unico
numero,vocabulario
numero,permite
numero,representar
numero,palabras
permite,unico
permite,vocabulario
permite,numero
permite,representar
permite,palabras
permite,forma
representar,vocabulario
representar,numero
representar,permite
representar,palabras
representar,forma
representar,numerica
palabras,numero
palabras,permite
palabras,representar
palabras,forma
palabras,numerica
palabras,computadoras
forma,permite
forma,representar
forma,palabras
forma,numerica
forma,computadoras
forma,entienden
numerica,representar
numerica,palabras
numerica,forma
numerica,computadoras
numerica,entienden
numerica,palabras
computadoras,palabras
computadoras,forma
computadoras,numerica
computadoras,entienden
computadoras,palabras
computadoras,personas
entienden,forma
entienden,numerica
entienden,computadoras
entienden,palabras
entienden,personas
entienden,necesitan
palabras,numerica
palabras,computadoras
palabras,entienden
palabras,personas
palabras,necesitan
palabras,convertirlas
personas,computadoras
personas,entienden
personas,palabras
personas,necesitan
personas,convertirlas
personas,numeros
necesitan,entienden
necesitan,palabras
necesitan,personas
necesitan,convertirlas
necesitan,numeros
necesitan,vectores
convertirlas,palabras
convertirlas,personas
convertirlas,necesitan
convertirlas,numeros
convertirlas,vectores
convertirlas,matrices
numeros,personas
numeros,necesitan
numeros,convertirlas
numeros,vectores
numeros,matrices
numeros,forma
vectores,necesitan
vectores,convertirlas
vectores,numeros
vectores,matrices
vectores,forma
vectores,sencilla
matrices,convertirlas
matrices,numeros
matrices,vectores
matrices,forma
matrices,sencilla
matrices,representar
forma,numeros
forma,vectores
forma,matrices
forma,sencilla
forma,representar
forma,palabras
sencilla,vectores
sencilla,matrices
sencilla,forma
sencilla,representar
sencilla,palabras
sencilla,codificacion
representar,matrices
representar,forma
representar,sencilla
representar,palabras
representar,codificacion
representar,one
palabras,forma
palabras,sencilla
palabras,representar
palabras,codificacion
palabras,one
palabras,hot
codificacion,sencilla
codificacion,representar
codificacion,palabras
codificacion,one
codificacion,hot
codificacion,representacion
one,representar
one,palabras
one,codificacion
one,hot
one,representacion
one,palabra
hot,palabras
hot,codificacion
hot,one
hot,representacion
hot,palabra
hot,convierte
representacion,codificacion
representacion,one
representacion,hot
representacion,palabra
representacion,convierte
representacion,vector
palabra,one
palabra,hot
palabra,representacion
palabra,convierte
palabra,vector
palabra,posicion
convierte,hot
convierte,representacion
convierte,palabra
convierte,vector
convierte,posicion
convierte,vale
vector,representacion
vector,palabra
vector,convierte
vector,posicion
vector,vale
vector,valen
posicion,palabra
posicion,convierte
posicion,vector
posicion,vale
posicion,valen
posicion,cero
vale,convierte
vale,vector
vale,posicion
vale,valen
vale,cero
vale,one
valen,vector
valen,posicion
valen,vale
valen,cero
valen,one
valen,hot
cero,posicion
cero,vale
cero,valen
cero,one
cero,hot
cero,facil
one,vale
one,valen
one,cero
one,hot
one,facil
one,entender
hot,valen
hot,cero
hot,one
hot,facil
hot,entender
hot,limitacion
facil,cero
facil,one
facil,hot
facil,entender
facil,limitacion
facil,importante
entender,one
entender,hot
entender,facil
entender,limitacion
entender,importante
entender,guarda
limitacion,hot
limitacion,facil
limitacion,entender
limitacion,importante
limitacion,guarda
limitacion,relaciones
importante,facil
importante,entender
importante,limitacion
importante,guarda
importante,relaciones
importante,significado
guarda,entender
guarda,limitacion
guarda,importante
guarda,relaciones
guarda,significado
guarda,palabras
relaciones,limitacion
relaciones,importante
relaciones,guarda
relaciones,significado
relaciones,palabras
relaciones,palabras
significado,importante
significado,guarda
significado,relaciones
significado,palabras
significado,palabras
significado,relacionadas
palabras,guarda
palabras,relaciones
palabras,significado
palabras,palabras
palabras,relacionadas
palabras,quedar
palabras,relaciones
palabras,significado
palabras,palabras
palabras,relacionadas
palabras,quedar
palabras,separadas
relacionadas,significado
relacionadas,palabras
relacionadas,palabras
relacionadas,quedar
relacionadas,separadas
relacionadas,palabras
quedar,palabras
quedar,palabras
quedar,relacionadas
quedar,separadas
quedar,palabras
quedar,mejorar
separadas,palabras
separadas,relacionadas
separadas,quedar
separadas,palabras
separadas,mejorar
separadas,representacion
palabras,relacionadas
palabras,quedar
palabras,separadas
palabras,mejorar
palabras,representacion
palabras,aparecen
mejorar,quedar
mejorar,separadas
mejorar,palabras
mejorar,representacion
mejorar,aparecen
mejorar,embeddings
representacion,separadas
representacion,palabras
representacion,mejorar
representacion,aparecen
representacion,embeddings
representacion,embedding
aparecen,palabras
aparecen,mejorar
aparecen,representacion
aparecen,embeddings
aparecen,embedding
aparecen,vector
embeddings,mejorar
embeddings,representacion
embeddings,aparecen
embeddings,embedding
embeddings,vector
embeddings,numerico
embedding,representacion
embedding,aparecen
embedding,embeddings
embedding,vector
embedding,numerico
embedding,resumir
vector,aparecen
vector,embeddings
vector,embedding
vector,numerico
vector,resumir
vector,informacion
numerico,embeddings
numerico,embedding
numerico,vector
numerico,resumir
numerico,informacion
numerico,contexto
resumir,embedding
resumir,vector
resumir,numerico
resumir,informacion
resumir,contexto
resumir,palabra
informacion,vector
informacion,numerico
informacion,resumir
informacion,contexto
informacion,palabra
informacion,diferencia
contexto,numerico
contexto,resumir
contexto,informacion
contexto,palabra
contexto,diferencia
contexto,one
palabra,resumir
palabra,informacion
palabra,contexto
palabra,diferencia
palabra,one
palabra,hot
diferencia,informacion
diferencia,contexto
diferencia,palabra
diferencia,one
diferencia,hot
diferencia,embedding
one,contexto
one,palabra
one,diferencia
one,hot
one,embedding
one,contener
hot,palabra
hot,diferencia
hot,one
hot,embedding
hot,contener
hot,valores
embedding,diferencia
embedding,one
embedding,hot
embedding,contener
